2019-01-26 18:01:49.227743--['archive-190126.zip']: files found in the archived_files folder. 
2019-01-26 18:01:49.230735--Found files in log_files\. Preparing to email them. 
2019-01-26 18:01:50.416769--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:01:52.742387--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:02:24.614983--Found files in log_files\. Preparing to email them. 
2019-01-26 18:02:25.754929--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:05:42.055859--Found files in log_files\. Preparing to email them. 
2019-01-26 18:05:43.235768--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:06:10.623931--Found files in log_files\. Preparing to email them. 
2019-01-26 18:06:10.627920--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:06:27.252654--Found files in log_files\. Preparing to email them. 
2019-01-26 18:06:28.437971--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:09:32.137497--Found files in log_files\. Preparing to email them. 
2019-01-26 18:10:27.524911--Found files in log_files\. Preparing to email them. 
2019-01-26 18:10:28.670280--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:10:46.172029--Found files in log_files\. Preparing to email them. 
2019-01-26 18:11:11.023345--Found files in log_files\. Preparing to email them. 
2019-01-26 18:14:01.409437--Found files in log_files\. Preparing to email them. 
2019-01-26 18:14:46.078066--Found files in log_files\. Preparing to email them. 
2019-01-26 18:15:17.833874--Found files in log_files\. Preparing to email them. 
2019-01-26 18:17:30.370588--Found files in log_files\. Preparing to email them. 
2019-01-26 18:18:27.232298--Found files in log_files\. Preparing to email them. 
2019-01-26 18:18:28.367341--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:19:39.764877--Found files in log_files\. Preparing to email them. 
2019-01-26 18:19:40.941175--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:25:02.477761--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:25:58.293325--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:27:25.221511--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:30:26.708908--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:31:35.012854--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:51:30.695860--Found files in archived_files\. Preparing to email them. 
2019-01-26 18:52:00.209267--Found files in archived_files\. Preparing to email them. 
